연도,Pro1_수익률,Pro1_MDD,Pro2_수익률,Pro2_MDD,Pro3_수익률,Pro3_MDD
2011,31.7,-22.9,28.0,-26.6,19.1,-26.9
2012,7.6,-18.2,4.3,-20.2,3.1,-22.3
2013,21.2,-3.7,30.7,-5.0,35.6,-5.0
2014,11.3,-8.1,15.7,-11.7,18.4,-13.3
2015,12.3,-17.8,10.4,-25.0,2.9,-31.9
2016,25.1,-5.1,31.6,-8.0,34.5,-10.6
2017,11.7,-7.3,18.1,-8.8,22.8,-8.6
2018,7.0,-13.5,-5.9,-24.3,-9.7,-25.8
2019,9.7,-16.5,14.3,-19.6,24.9,-17.0
2020,8.7,-15.9,19.9,-22.2,24.9,-29.9
2021,32.5,-10.6,41.7,-11.0,43.3,-10.9
2022,48.1,-8.7,48.4,-13.5,32.2,-17.3
2023,24.0,-8.4,34.5,-10.1,38.6,-10.8
2024,35.3,-6.9,49.5,-8.0,56.4,-7.9
